region_id,date,element,station_count,minimum,maximum
SA-02,20200714,TMAX,1,35.0,35.0
SA-02,20200714,TMIN,2,22.0,27.0
SA-02,20200715,TMAX,2,36.0,43.0
SA-02,20200715,TMIN,2,22.0,29.0
SA-02,20200716,TMAX,2,37.0,39.6
SA-02,20200716,TMIN,1,27.0,27.0
SA-02,20200717,TMAX,2,35.0,39.0
SA-02,20200717,TMIN,2,25.0,27.4
SA-02,20200718,TMAX,2,35.0,40.0
SA-02,20200718,TMIN,1,24.0,24.0
SA-02,20200719,TMAX,2,38.0,38.0
SA-02,20200720,TMAX,2,35.0,36.4
SA-02,20200720,TMIN,2,27.0,27.6
SA-02,20200721,TMAX,2,37.6,39.0
SA-02,20200721,TMIN,1,26.0,26.0
SA-02,20200722,TMAX,2,37.0,38.0
SA-02,20200722,TMIN,2,27.0,31.0
SA-02,20200723,TMAX,2,36.4,37.0
SA-02,20200723,TMIN,2,27.0,30.0
SA-02,20200724,TMAX,2,35.0,38.0
SA-02,20200725,TMAX,2,36.0,41.0
SA-02,20200725,TMIN,2,22.0,31.0
SA-02,20200726,TMAX,1,35.0,35.0
