date,region_id,weighted_mean_mm,spatial_p95_mm,maximum_mm,coverage_fraction,product,version
2020-11-11,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-11,SA-11,0.046,0.08,1.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-11,SA-12,0.126,0.5,6.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-11,SA-14,0.037,0.1,3.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-01,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-02,0.002,0.0,1.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-03,0.001,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-04,0.081,0.4,5.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-05,0.006,0.0,0.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-06,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-07,0.002,0.0,0.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-08,0.076,0.5,4.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-09,0.035,0.0,4.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-11,0.001,0.0,0.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-12,0.067,0.0,10.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-12,SA-14,0.003,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-01,0.0,0.0,0.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-02,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-03,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-04,0.075,0.1,8.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-05,0.001,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-06,0.002,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-07,0.002,0.0,0.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-08,0.002,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-09,0.113,0.0,3.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-13,SA-14,0.001,0.0,0.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-01,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-02,0.0,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-03,0.0,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-04,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-05,0.001,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-06,0.006,0.0,1.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-07,0.001,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-08,0.003,0.0,0.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-09,0.047,0.0,1.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-11,0.004,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-12,0.002,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-14,SA-14,0.002,0.0,0.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-01,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-02,0.001,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-03,0.001,0.0,0.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-04,0.158,0.4,12.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-05,0.004,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-06,0.088,0.405,4.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-07,0.001,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-08,0.932,5.63,10.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-09,0.471,2.48,4.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-12,0.013,0.0,1.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-15,SA-14,0.027,0.1,1.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-01,0.0,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-02,0.01,0.0,2.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-03,2.877,9.3,15.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-04,0.004,0.0,1.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-05,0.046,0.315,1.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-06,2.017,5.7,10.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-07,0.849,4.5,9.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-08,2.895,14.5,19.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-09,0.002,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-12,2.535,9.6,15.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-20,SA-14,0.0,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-01,0.001,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-02,0.333,1.585,19.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-03,0.454,2.5,8.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-04,0.035,0.0,2.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-05,0.32,1.7,4.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-06,0.663,2.8,5.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-07,0.002,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-08,0.719,2.83,5.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-09,0.008,0.0,1.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-10,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-12,0.019,0.1,0.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-21,SA-14,0.003,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-26,SA-01,0.836,3.0,6.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-11-26,SA-02,4.021,14.7,49.5,1.0,IMERG Final Run daily GIS accumulation,V07B
