case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmax_c,station_max,44.9852294921875,48.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmax_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmax_c,station_min,38.2144775390625,45.2,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmax_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmin_c,station_mean,31.7738037109375,30.5,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmin_c_station_mean,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmin_c,station_max,32.660064697265625,31.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmin_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmin_c,station_min,30.576934814453125,30.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmin_c_station_min,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmax_c,station_mean,40.866539001464844,43.35,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmax_c_station_mean,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmax_c,station_max,42.5836181640625,44.1,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmax_c_station_max,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmax_c,station_min,35.966522216796875,42.3,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmax_c_station_min,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmin_c,station_mean,28.676116943359375,28.5,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmin_c_station_mean,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmin_c,station_max,29.56109619140625,29.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmin_c_station_max,0.8,4,accepted
